ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
   3613,UGC 6323,Galaxy,UMa,12,"Size: 3.6  vB, cL, mE 305deg , smbMN",11,18.6,+,58,0
   3614,UGC 6318,Galaxy,UMa,12,"Size: 4.6  F, pL, lE 90deg +/- , glbM, r",11,18.3,+,45,45
   3615,UGC 6313,Galaxy,Leo,14,"cF, vS, smbM, stellar, p of 2",11,18,+,23,24
   3616,,,Leo,,"eF, pL; nonexistent?",11,18.2,+,14,44
   3617,ESO 503-12,Galaxy,Hya,13,"F, S, R, gbM",11,17.8,-,26,7
   3618,UGC 6327,Galaxy,Leo,14,"vF, S, f of 2",11,18.5,+,23,29
   3619,UGC 6330,Galaxy,UMa,13,"Size: 3.1  cB, cL, R, vgmbM",11,19.4,+,57,46
   3620,ESO 38-10,Galaxy,Cha,,"Size: 2.8  F, pS, pmE, gbM",11,16.1,-,76,13
   3621,ESO 377-37,Galaxy,Hya,10,"Size: 10.0  cB, vL, E 160deg , am 4 st",11,18.3,-,32,49
   3622,UGC 6339,Galaxy,UMa,13,"pB, S, R, gbM",11,20.2,+,67,15
   3623,M 65,Galaxy,Leo,9.3,"Size: 10.0  B, vL, mE 165deg +/- , gbMBN",11,18.9,+,13,5
   3624,MCG 1-29-29,Galaxy,Leo,14,eF,11,18.8,+,7,32
   3625,UGC 6348,Galaxy,UMa,14,"Size: 2.2  F, S, lE 135deg +/-",11,20.5,+,57,47
   3626,NGC 3632,Galaxy,Leo,10.9,"Size: 3.1  B, S, vlE, sbM",11,20.1,+,18,21
   3627,M 66,Galaxy,Leo,9,"Size: 8.7  B, vL, mE 150deg , mbM, 2 st ",11,20.2,+,12,59
   3628,UGC 6350,Galaxy,Leo,9.5,"Size: 14.8  pB, vL, vmE 102deg",11,20.3,+,13,36
   3629,UGC 6352,Galaxy,Leo,13,"Size: 2.2  cF, L, R, vgvlbM",11,20.5,+,26,58
   3630,NGC 3645,Galaxy,Leo,13,"Size: 2.3  pB, S, R, smbMN",11,20.3,+,2,58
   3631,UGC 6360,Galaxy,UMa,10.4,"Size: 4.6  pB, L, R, svmbMrN",11,21,+,53,10
   3632,NGC 3626,,Leo,,"pB, * inv; = 3626?",11,20.5,+,18,9
   3633,UGC 6351,Galaxy,Leo,14,"Size: 1.4  vF, S, R, 2 st nr",11,20.4,+,3,35
   3634,MCG 1-29-8,Galaxy,Crt,15,"eF, eS, R, bMN, D with 3635, 85deg , dis",11,20.6,-,9,1
   3635,MCG 1-29-9,Galaxy,Crt,16,"eF, eS, R, bMN, D with 3634",11,20.6,-,9,1
   3636,MCG 2-29-19,Galaxy,Crt,13,"Size: 1.1  F, vS, R, lbM, *7 f, p of 2",11,20.4,-,10,17
   3637,MCG 2-29-20,Galaxy,Crt,13,"Size: 1.7  F, vS, R, psbM, *7 p, f of 2",11,20.7,-,10,16
   3638,MCG 1-29-7,Galaxy,Crt,15,"eF, vS, 2 st 10 f",11,20.3,-,8,6
   3639,UGC 6374,Galaxy,Leo,14,"pF, S, R, vlbM, 15' f 3626",11,21.5,+,18,28
   3640,UGC 6368,Galaxy,Leo,10.3,"Size: 4.1  B, pL, R, psbM",11,21.1,+,3,14
   3641,UGC 6370,Galaxy,Leo,14,"Size: 1.1  F, vS, alm stell, 3640 2' n",11,21.2,+,3,12
   3642,UGC 6385,Galaxy,UMa,11.1,"Size: 5.8  pB, pL, R, vgbM",11,22.3,+,59,5
   3643,NGC 3645?,Galaxy,Leo,15,"Size: 1.1  eF, vS",11,21.4,+,3,1
   3644,IC 684,Galaxy,Leo,15,"vF, vS; = IC 684",11,21.5,+,2,49
   3645,NGC 3645,Galaxy,Leo,15,"pB, S, E, bM",11,21.6,+,2,59
   3646,UGC 6376,Galaxy,Leo,11.2,"Size: 3.9  cF, cL, lE, gbM, sp of 2",11,21.7,+,20,10
   3647,ZWG 39.141,Galaxy,Leo,15,eF neb*,11,21.6,+,2,54
   3648,UGC 6389,Galaxy,UMa,13,"pB, S, pmE, bMN = close ** ?",11,22.6,+,39,53
   3649,UGC 6386,Galaxy,Leo,15,"Size: 1.6  vF, pS, R, gbM, nf of 2",11,22.2,+,20,13
   3650,UGC 6391,Galaxy,Leo,15,"Size: 1.9  eF, S, R, bet 2 st",11,22.6,+,20,42
   3651,UGC 6388,Galaxy,Leo,14,"cF, vS, R, bM, np of 2",11,22.4,+,24,18
   3652,UGC 6392,Galaxy,UMa,13,"Size: 2.4  pF, cL, lE, vgbM",11,22.6,+,37,46
   3653,MCG 4-27-29,Galaxy,Leo,15,"vF, vS, sf of 2",11,22.5,+,24,16
   3654,UGC 6407,Galaxy,UMa,13,"F, S, lE 15deg +/-",11,24.1,+,69,26
   3655,UGC 6396,Galaxy,Leo,11.6,"Size: 1.6  pB, pS, iR, bM, r",11,22.9,+,16,35
   3656,UGC 6403,Galaxy,UMa,13,"Size: 1.7  pB, S, R, vgbM, *12 p",11,23.6,+,53,51
   3657,UGC 6406,Galaxy,UMa,12,"Size: 1.8  cF, vS, R, stellar",11,23.9,+,52,55
   3658,UGC 6409,Galaxy,UMa,13,"Size: 2.1  F, S, R, svmbMN = *14",11,24,+,38,34
   3659,UGC 6405,Galaxy,Leo,13,"Size: 2.1  cF, S, lE, r",11,23.8,+,17,49
   3660,MCG 1-29-16,Galaxy,Crt,13,"Size: 2.8  F, pL, iR, vgbM",11,23.6,-,8,40
   3661,IC 689,Galaxy,Crt,14,"F, S, R, stellar, p of 2; = IC 689",11,23.7,-,13,48
   3662,UGC 6408,Galaxy,Leo,14,"Size: 1.6  vF, S, att to *13",11,23.8,-,1,6
   3663,MCG 2-29-23,Galaxy,Crt,13,"eF, fan shaped, * close",11,24,-,12,17
   3664,UGC 6419,Galaxy,Leo,13,"Size: 2.0  pF, biN",11,24.4,+,3,20
   3665,UGC 6426,Galaxy,UMa,10.8,"Size: 3.2  cB, cL, iR, pgmbM",11,24.7,+,38,46
   3666,UGC 6420,Galaxy,Leo,12,"Size: 4.2  F, E 90deg +/- , *6 f 34s , 5",11,24.4,+,11,21
   3667,,Galaxy,Crt,13,"pF, pL, iR, vlbM",11,24.3,-,13,49
   3668,UGC 6430,Galaxy,UMa,13,"F, pS, iR, gbM, *9 np",11,25.5,+,63,27
   3669,UGC 6431,Galaxy,UMa,13,"Size: 2.3  vF, pL, pmE 135deg +/- , er",11,25.4,+,57,43
   3670,UGC 6427,Galaxy,Leo,14,"vF, vS, R",11,24.7,+,23,57
   3671,ZWG 291. 68,Galaxy,UMa,15,"vF, vS, 2 vS st inv",11,25.8,+,60,29
   3672,MCG 2-29-28,Galaxy,Crt,11,"Size: 4.1  pB, L, E 0deg +/- , gbM",11,25,-,9,48
   3673,ESO 503-16,Galaxy,Hya,12,"Size: 3.5  F, vL, gvlbM, *7 s 6'",11,25.2,-,26,44
   3674,UGC 6444,Galaxy,UMa,13,"Size: 2.0  pF, iF",11,26.4,+,57,3
   3675,UGC 6439,Galaxy,UMa,11,"Size: 5.9  vB, cL, vmE 0deg +/- , vsmbMN",11,26.1,+,43,35
   3676,MCG 2-29-29,,Crt,,"eF, vS, R, 2 st 10 nf, sf",11,25.6,-,10,37
   3677,UGC 6441,Galaxy,UMa,14,"Size: 2.0  eF, S, R, vsbM *, 2 st 11 nf",11,26.3,+,46,58
   3678,UGC 6443,Galaxy,Leo,14,"vF, S, R, psbM, *12 nf",11,26.2,+,27,53
   3679,MCG 1-29-12,Galaxy,Leo,15,"eF, cL, R, r (v near vB*)",11,26.2,-,5,35
   3680,OCL 823,Open Cluster,Cen,7.6,"Size: 12.  Cl, cL, pRi, lC, st 10...14",11,25.7,-,43,15
   3681,UGC 6445,Galaxy,Leo,11.7,"Size: 2.5  B, pS, R, bM",11,26.5,+,16,52
   3682,UGC 6459,Galaxy,Dra,13,"Size: 2.0  cB, S, iR, spmbMN",11,27.7,+,66,35
   3683,UGC 6458,Galaxy,UMa,13,"Size: 2.0  cB, pL, E",11,27.5,+,56,53
   3684,UGC 6453,Galaxy,Leo,11.7,"Size: 3.2  pB, pL, E, vgbM",11,27.2,+,17,2
   3685,MCG 1-29-45,,Leo,,"eF, vS",11,26.2,+,4,8
   3686,UGC 6460,Galaxy,Leo,11.4,"Size: 3.3  pB, L, vlE, vgbM, r",11,27.7,+,17,13
   3687,UGC 6463,Galaxy,UMa,13,"Size: 2.0  pB, pS, R, lbM, r",11,28,+,29,31
   3688,MCG 1-29-24,Galaxy,Crt,15,"eF, eS, lE 0deg , gbM",11,27.8,-,9,10
   3689,UGC 6467,Galaxy,Leo,12.3,"Size: 1.6  pB, pL, lE, bM",11,28.2,+,25,40
   3690,UGC 6472,Galaxy,UMa,12,"Size: 2.4  pB, pS, vlE 80deg +/- , pgbM,",11,28.5,+,58,33
   3691,UGC 6464,Galaxy,Leo,14,"Size: 1.3  F, pS, lE, r",11,28.2,+,16,55
   3692,UGC 6474,Galaxy,Leo,13,"Size: 3.3  F, mE, r",11,28.4,+,9,24
   3693,MCG 2-29-32,Galaxy,Crt,13,"cF, S, E, gbM",11,28.2,-,13,10
   3694,UGC 6480,Galaxy,UMa,13,"Size: 1.0  cF, S, R, mbM",11,28.9,+,35,24
   3695,NGC 3698,Galaxy,UMa,15,"eF, pS, 3694 4' s",11,29.2,+,35,35
   3696,NGC 3704?,Galaxy,Crt,,"eF, eS, R, bMN",11,28.8,-,11,15
   3697,,Galaxy,Leo,14,"eF, vS, E 90deg",11,28.7,+,20,48
   3698,NGC 3695,,UMa,,"eF, vS",11,29,+,35,40
   3699,PK 292+1.1,Planetary Nebula,Cen,,"Size: 1.1  B, pL, iR, pgpmbM",11,28,-,59,57
   3700,UGC 6494,Galaxy,UMa,15,"eF, 3694 p",11,29.5,+,35,31
   3701,UGC 6493,Galaxy,Leo,14,"pF, pL, lE",11,29.4,+,24,5
   3702,MCG 1-29-26,Galaxy,Crt,15,"eF, eS, R, glbM",11,30.2,-,8,52
   3703,,,Crt,,"eF, vS, gbMN",11,29.6,-,8,37
   3704,NGC 3707,Galaxy,Crt,14,"vF, pS, *9-10 2' ssf",11,30,-,11,30
   3705,UGC 6498,Galaxy,Leo,11,"Size: 5.0  pF, pL, R, vsmbM, r",11,30.1,+,9,17
   3706,ESO 378-6,Galaxy,Cen,12,"Size: 2.9  pB, cS, R, psmbM",11,29.7,-,36,25
   3707,NPM1G -11.0301,,Crt,,"vF, S, *15 (neb?) 2s  f",11,30.1,-,11,32
   3708,,,Leo,,"vF, S, R, gbM",11,30.7,-,3,13
   3709,,,Leo,,"eF, eS",11,30.7,-,3,15
   3710,UGC 6504,Galaxy,Leo,14,"F, S, *7-8 nf 5'",11,31,+,22,46
   3711,MCG 2-29-35,Galaxy,Crt,15,"eF, vS, *9 s 4'",11,29.4,-,11,4
   3712,UGC 6511,Galaxy,UMa,15,"F, vS, R, smbM",11,31.1,+,28,34
   3713,UGC 6511,Galaxy,Leo,14,"F, cS, R, sbMN",11,31.6,+,28,9
   3714,UGC 6516,Galaxy,UMa,14,"F, S, R, psbM",11,31.8,+,28,22
   3715,MCG 2-29-41,Galaxy,Crt,13,"pF, S, R, vgvlbM",11,31.5,-,14,12
   3716,UGC 6513,Galaxy,Leo,14,"vF, vS",11,31.7,+,3,30
   3717,ESO 439-15,Galaxy,Hya,12,"Size: 5.8  pB, S, mE, *13 att",11,31.5,-,30,19
   3718,UGC 6524,Galaxy,UMa,10.5,"Size: 8.7  pB, vL, R, vglbM",11,32.6,+,53,4
   3719,UGC 6521,Galaxy,Leo,14,"Size: 2.0  vF, np of 2",11,32.2,+,0,49
   3720,UGC 6523,Galaxy,Leo,13.3,"Size: 1.1  vF, sf of 2",11,32.4,+,0,48
   3721,NPM1G -09.0435,Galaxy,Crt,15,"eF, eS, R, gbM",11,34.4,-,9,35
   3722,MCG 1-30-5,Galaxy,Crt,16,"eF, vS, R, sbMN, 1st of 2",11,34.5,-,9,39
   3723,MCG 2-30-2,Galaxy,Crt,14,"F, S, R",11,32.4,-,9,58
   3724,MCG 1-30-7,Galaxy,Crt,15,"eF, vS, R, sbMN, 2nd of 2",11,34.5,-,9,41
   3725,UGC 6542,Galaxy,UMa,14,"Size: 1.4  cF, S, R, gvlbM, r",11,33.7,+,61,53
   3726,UGC 6537,Galaxy,UMa,10.4,"Size: 6.0  pB, vL, lE 0deg , vsmbM *15, ",11,33.3,+,47,2
   3727,NPM1G -13.0331,Galaxy,Crt,,"eF, eS, R, gbMN, *11 sf 1'",11,33.7,-,13,52
   3728,UGC 6536,Galaxy,Leo,14,"F, S, R, bM",11,33.2,+,24,27
   3729,UGC 6547,Galaxy,UMa,11.4,"Size: 3.1  pB, pL, lE 0deg +/- , gbM, *1",11,33.8,+,53,8
   3730,MCG 1-30-3,Galaxy,Crt,,"eF, S, lE 140deg , glbnM",11,34.7,-,9,37
   3731,UGC 6553,Galaxy,Leo,14,"vF, vS, R",11,34.2,+,12,32
   3732,MCG 2-30-5,Galaxy,Crt,13,"Size: 1.3  F, S, R, psbM, *14 sp 225deg",11,34.2,-,9,51
   3733,UGC 6554,Galaxy,UMa,12,"Size: 4.8  eF, S, iR, *6 sf",11,35,+,54,51
   3734,MCG 2-30-6,Galaxy,Crt,14,"eF, S, R, gbM",11,34.7,-,14,6
   3735,UGC 6567,Galaxy,Dra,12,"Size: 4.2  pB, L, mE 130deg , mbM",11,36,+,70,32
   3736,UGC 6560,Galaxy,Dra,15,"vF, vS, R",11,35.6,+,73,28
   3737,UGC 6563,Galaxy,UMa,14,"Size: 1.3  vF, stellar",11,35.6,+,54,57
   3738,UGC 6565,Galaxy,UMa,11.7,"Size: 2.6  pB, pL, bM",11,35.8,+,54,31
   3739,UGC 6564,Galaxy,Leo,15,"vF, bet 2 st 12",11,35.6,+,25,4
   3740,UGC 6573,Galaxy,UMa,15,"vF, vS, R, vgbM",11,36.2,+,59,59
   3741,UGC 6572,Galaxy,UMa,14,"vF, S, R, vgbM",11,36,+,45,18
   3742,ESO 320-6,Galaxy,Cen,,"pF, pL, vlE, glbM",11,35.4,-,37,56
   3743,ZWG 126.106,Galaxy,Leo,15,"F, S, R, *9 1' sf",11,35.8,+,21,44
   3744,ZWG 126.107,Galaxy,Leo,15,"eF, S, R, lbM",11,35.8,+,23,0
   3745,MCG 4-28-4,Galaxy,Leo,,"Size: 0.4  pB, pS, R",11,37.7,+,22,1
   3746,UGC 6597,Galaxy,Leo,15,"Size: 1.3  pB, pS, R",11,37.7,+,22,0
   3747,IRAS11294+7439,,Dra,,"eF, S, place doubtful",11,37.5,+,74,59
   3748,MCG 4-28-7,Galaxy,Leo,,"Size: 0.8  pB, pS, R",11,37.8,+,22,2
   3749,ESO 320-8,Galaxy,Cen,,"F, cS, lE, gvlbM",11,35.8,-,37,59
   3750,MCG 4-28-8,Galaxy,Leo,,"Size: 0.9  pB, R, cbM, 1st of 3 in line",11,37.9,+,21,58
   3751,UGC 6601,Galaxy,Leo,15,"Size: 0.4  F, L, E 45deg",11,37.9,+,21,56
   3752,UGC 6515,,Dra,,"pB, pL",11,37.6,+,75,17
   3753,UGC 6602,Galaxy,Leo,15,"Size: 2.0  pB, pL, 2nd of 3 in line",11,37.9,+,21,59
   3754,MCG 4-28-11,Galaxy,Leo,,"Size: 0.4  vF, R, 3rd of 3 in line",11,37.9,+,21,59
   3755,UGC 6577,Galaxy,UMa,13,"Size: 3.2  eF, pL, pmE, gbM",11,36.6,+,36,25
   3756,UGC 6579,Galaxy,UMa,11.5,"Size: 4.4  pF, L, lE",11,36.8,+,54,18
   3757,UGC 6584,Galaxy,UMa,13,"vF, R, stellar, vS* 1 d sf",11,37.1,+,58,26
   3758,MCG 4-27-73,Galaxy,Leo,15,"pB, S, R, bM, *8.5 3' f",11,36.4,+,21,36
   3759,UGC 6581,Galaxy,UMa,14,"Size: 1.5  F, S, iR, *11 nr",11,36.9,+,54,49
   3760,NGC 3301,,Leo,,"B, pS, mbMN = *13, *11 p 4s , s 175""; = ",10,36.9,+,21,53
   3761,ZWG 127. 1,Galaxy,Leo,15,"vF, S, R, bM",11,36.8,+,23,0
   3762,UGC 6591,Galaxy,UMa,13,"F, vlE, gbM",11,37.5,+,61,46
   3763,IC 714,Galaxy,Crt,13,"F, dif, sp 7 st; = IC 714?",11,36.4,-,9,50
   3764,MCG 3-30-20,Galaxy,Leo,15,"F, S, R",11,36.9,+,17,54
   3765,MCG 4-28-1,Galaxy,Leo,15,"vF, S, R",11,37.1,+,24,7
   3766,OCL 860,Open Cluster,Cen,5.3,"Size: 12.  Cl, pL, pRi, pC, st 8...13",11,36.1,-,61,37
   3767,UGC 6590,Galaxy,Leo,14,"vF, S, bM",11,37.3,+,16,53
   3768,UGC 6589,Galaxy,Leo,13,"vF, eS, stellar",11,37.2,+,17,51
   3769,UGC 6595,Galaxy,UMa,12,"Size: 3.2  pB, S, pmE",11,37.7,+,47,54
   3770,UGC 6600,Galaxy,UMa,13,"pF, S, R, gbM, r",11,38,+,59,37
   3771,,Galaxy,Crt,,"vF, eS, R, *10 p 15s",11,38.4,-,9,20
   3772,UGC 6598,Galaxy,Leo,14,"vF, S, E, r",11,37.8,+,22,42
   3773,UGC 6605,Galaxy,Leo,13,"Size: 1.6  cF, cS, R, psbM",11,38.2,+,12,7
   3774,MCG 1-30-16,Galaxy,Crt,15,"eF, vS, E 75deg , *9 np 3'",11,38.6,-,8,59
   3775,MCG 2-30-12,Galaxy,Crt,15,"pB, bMN",11,38.3,-,10,37
   3776,ZWG 12. 45,Galaxy,Vir,,"eF, vS",11,38.3,-,3,20
   3777,MCG 2-30-8,Galaxy,Crt,14,"eF, pS, iR, gbM, S* or neb f",11,36.1,-,12,34
   3778,ESO 216-26,Galaxy,Cen,,"Size: 1.4  eF, S, R, am 50 S st",11,38.4,-,50,43
   3779,IC 717,,Crt,,eeF,11,38.9,-,10,37
   3780,UGC 6615,Galaxy,UMa,12,"Size: 3.1  pF, L, vlE, vgbM, r",11,39.4,+,56,16
   3781,MCG 5-28-4,Galaxy,Leo,15,"vF, vS, R, bM",11,39,+,26,22
   3782,UGC 6618,Galaxy,UMa,13,"Size: 1.7  F, S, att to *15, another * i",11,39.3,+,46,31
   3783,ESO 378-14,Galaxy,Cen,13,"Size: 1.9  cB, R, sbMN *, *9 sf",11,39,-,37,45
   3784,MCG 5-28-6,Galaxy,Leo,15,"vF, vS, R, gmbM",11,39.4,+,26,20
   3785,UGC 6620,Galaxy,Leo,15,"vF, eS, R, bM",11,39.5,+,26,19
   3786,UGC 6621,Galaxy,UMa,13,"Size: 2.4  pB, pL, E 57deg , gbM, p of 2",11,39.7,+,31,55
   3787,MCG 4-28-15,Galaxy,Leo,14,"vF, vS, R, *15 p",11,39.7,+,20,29
   3788,UGC 6623,Galaxy,UMa,13,"Size: 2.2  cB, pL, pmE 177deg , pgbM",11,39.7,+,31,56
   3789,MCG 1-30-15,Galaxy,Crt,16,"eF, vS, E 0deg , gbM",11,38.1,-,9,36
   3790,UGC 6624,Galaxy,Leo,14,"cF, vS, pmE, sbM, 2 S st f, 1st of 3",11,39.8,+,17,43
   3791,MCG 1-30-20,Galaxy,Crt,14,"vF, vS, R, gbM, *8 s 6'",11,39.8,-,9,23
   3792,,,Vir,,"vF, dif",11,39.8,+,5,0
   3793,,Galaxy,UMa,15,"vS, f 3788",11,39.4,+,31,52
   3794,NGC 3804,Galaxy,UMa,15,"cF, pS, vS* vnr",11,39.6,+,55,11
   3795,UGC 6629,Galaxy,UMa,14,"Size: 2.4  vF, S, mE",11,40.1,+,58,37
   3796,UGC 6638,Galaxy,UMa,13,"F, cS, R, mbM",11,40.6,+,60,18
   3797,,Galaxy,UMa,15,"Size: 0.2  vS, f 3788",11,40.1,+,31,54
   3798,UGC 6632,Galaxy,Leo,14,"F, cS, lE, stellar, r",11,40.2,+,24,43
   3799,UGC 6630,Galaxy,Leo,14,"Size: 0.9  cF, R, p of 2",11,40.2,+,15,20
   3800,UGC 6634,Galaxy,Leo,13,"Size: 2.1  F, pS, E, pglbM, r, f of 2",11,40.2,+,15,21
   3801,UGC 6635,Galaxy,Leo,12.1,"Size: 3.2  pF, pL, R, bM, r, 2nd of 3",11,40.3,+,17,44
   3802,UGC 6636,Galaxy,Leo,13.6,"Size: 1.4  vF, pS, r, 2 vB st p, 3rd of ",11,40.3,+,17,46
   3803,,Galaxy,Leo,,"vF, S, R",11,40.3,+,17,49
   3804,NGC 3794,Galaxy,UMa,13,"Size: 2.4  pB, E",11,40.9,+,56,12
   3805,UGC 6642,Galaxy,Leo,14,"cB, cS, R, bM, r",11,40.8,+,20,22
   3806,UGC 6641,Galaxy,Leo,14,"F, pL, *9-10 s 5'",11,40.8,+,17,48
   3807,NGC 3806,Galaxy,Leo,15,"Size: 1.5  vF, S, R (vF*?)",11,40.8,+,17,47
   3808,UGC 6643,Galaxy,Leo,11.9,"Size: 0.7  vF, vS",11,40.7,+,22,27
   3809,UGC 6649,Galaxy,UMa,13,"pB, S, R, glbM",11,41.3,+,59,54
   3810,UGC 6644,Galaxy,Leo,10.8,"Size: 4.3  B, L, vlE",11,41,+,11,28
   3811,UGC 6650,Galaxy,UMa,13,"Size: 2.4  F, S, vlE, glbM",11,41.3,+,47,42
   3812,UGC 6648,Galaxy,Leo,14,"cF, vS, R, 1st of 3, *6 sf 3'",11,41.1,+,24,51
   3813,UGC 6651,Galaxy,UMa,11.7,"Size: 2.3  cB, pL, pmE 83deg , bM",11,41.3,+,36,33
   3814,MCG 4-28-24,Galaxy,Leo,15,"vS, nebs*, p 3815",11,41.5,+,24,49
   3815,UGC 6654,Galaxy,Leo,14,"cF, S, 3rd of 3",11,41.7,+,24,49
   3816,UGC 6656,Galaxy,Leo,13,"F, S, bM",11,41.8,+,20,7
   3817,UGC 6657,Galaxy,Leo,14,"F, 1st of 4",11,41.9,+,10,19
   3818,MCG 1-30-23,Galaxy,Vir,11.8,"Size: 2.1  F, pS, R, psbM",11,42,-,6,9
   3819,MCG 2-30-13,Galaxy,Leo,15,"vF, 2nd of 4",11,42.1,+,10,22
   3820,MCG 2-30-14,Galaxy,Leo,15,"eF, vS, 3819 s",11,42.1,+,10,24
   3821,UGC 6663,Galaxy,Leo,14,"vF, cS, R, bM, bet 2 st",11,42.2,+,20,20
   3822,NGC 3848,Galaxy,Vir,13,"pF, pS, 3rd of 4",11,42.2,+,10,17
   3823,MCG 2-30-17,Galaxy,Crt,14,"F, cS, lE, pslbM",11,42.2,-,13,51
   3824,UGC 6676,Galaxy,UMa,15,"Size: 1.6  vF, cS, pmE",11,42.8,+,52,47
   3825,NGC 3852,Galaxy,Vir,14,"pF, pS, 4th of 4",11,42.4,+,10,17
   3826,NGC 3830,Galaxy,Leo,14,"pF, S, R, psbM, stellar",11,42.4,+,26,30
   3827,UGC 6673,Galaxy,Leo,13,"F, S, lbM",11,42.6,+,18,51
   3828,MCG 3-30-57,Galaxy,Leo,15,"vF, S, dif",11,42.9,+,16,30
   3829,UGC 6690,Galaxy,UMa,15,"Size: 1.2  vF, vS",11,43.5,+,52,43
   3830,NGC 3826,Galaxy,Leo,14,eF,11,43.2,+,26,35
   3831,MCG 2-30-23,Galaxy,Crt,14,"F, vS, R, bM",11,43.2,-,12,52
   3832,UGC 6693,Galaxy,Leo,14,"vF, pL, 2 suspected neb nr",11,43.5,+,22,44
   3833,UGC 6692,Galaxy,Vir,14,"eF, pS",11,43.5,+,10,10
   3834,MCG 3-30-65,Galaxy,Leo,,"Size: 1.9  vF, vS, slbMN *13",11,43.6,+,19,5
   3835,UGC 6703,Galaxy,UMa,13,"Size: 2.0  pB, E, gbM, ** 8 sf 5'",11,44.1,+,60,7
   3836,MCG 3-30-10,Galaxy,Crt,13,"F, S, F* close n",11,43.5,-,16,48
   3837,UGC 6701,Galaxy,Leo,14,"cF, S, R, 1st of 5",11,43.9,+,19,54
   3838,UGC 6707,Galaxy,UMa,13,"Size: 1.7  pB, cS, E, psbM *12",11,44.2,+,57,57
   3839,UGC 6700,Galaxy,Leo,13,"vF, S, R, lbM",11,43.9,+,10,48
   3840,UGC 6702,Galaxy,Leo,14,"F, S, lE",11,43.9,+,20,5
   3841,MCG 3-30-73,Galaxy,Leo,15,"cF, S, R, 2nd of 5",11,44,+,19,59
   3842,UGC 6704,Galaxy,Leo,13,"Size: 1.2  F, S, R, vglbM, 3rd of 5",11,44,+,19,57
   3843,UGC 6699,Galaxy,Vir,14,"F, E sp nf, *11 p",11,43.9,+,7,56
   3844,UGC 6705,Galaxy,Leo,15,"vF, pS, lE",11,44,+,20,2
   3845,MCG 3-30-74,Galaxy,Leo,15,"vF, pS, 4th of 5",11,44.1,+,20,0
   3846,UGC 6710,Galaxy,UMa,15,"Size: 1.2  F, pL, R, vgbM",11,44.5,+,55,40
   3847,NGC 3856,,UMa,,"F, S, R, psbM",11,44.2,+,33,21
   3848,NGC 3822,Galaxy,Vir,15,"eF, vS",11,43.7,+,10,16
   3849,IC 730,,Vir,,"F, S, F* 2' ssp",11,44.2,+,3,10
   3850,UGC 6733,Galaxy,UMa,14,"Size: 2.3  eF, pL, lE",11,45.6,+,55,53
   3851,MCG 3-30-77,Galaxy,Leo,15,"eF, vS, R, 5th of 5",11,44.3,+,19,59
   3852,NGC 3825,,Vir,,"eF, vS; = 3848?",11,44.4,+,10,18
   3853,UGC 6712,Galaxy,Leo,13,"S, R, bM",11,44.4,+,16,34
   3854,NGC 3865,,Crt,,"eF, vS, lE 70deg , bMN",11,44.5,-,9,22
   3855,IC 2953,,UMa,,"eF, vS",11,44.3,+,33,20
   3856,NGC 3847,,UMa,,"vF, R, bM",11,44.4,+,33,20
   3857,MCG 3-30-84,Galaxy,Leo,15,"vF, vS, mbM",11,44.8,+,19,33
   3858,NGC 3866,Galaxy,Crt,13,"Size: 1.9  eF, eS, R, gbM, *9.5 p 3s",11,44.9,-,9,16
   3859,UGC 6721,Galaxy,Leo,15,"eF, vS, R, lbM, r?",11,44.9,+,19,28
   3860,,Galaxy,Leo,14,"vF, vS, r",11,44.6,+,19,49
   3861,,Galaxy,Leo,14,"F, S, R, bM",11,44.8,+,20,0
   3862,UGC 6723,Galaxy,Leo,12.6,"Size: 1.6  vF, vS, R, *17 n",11,45.1,+,19,36
   3863,UGC 6722,Galaxy,Vir,14,"vF, 2' l, mE 70deg , glbM",11,45.1,+,8,29
   3864,MCG 3-30-97,Galaxy,Leo,15,"eF, vS, R",11,45.2,+,19,24
   3865,NGC 3854,Galaxy,Crt,13,"Size: 2.3  F, pL, dif",11,44.9,-,9,14
   3866,NGC 3858,Galaxy,Crt,14,"sf 3865, not so L",11,45.3,-,9,20
   3867,UGC 6731,Galaxy,Leo,14,"F, S, irrR, mbM, s of 2",11,45.4,+,19,24
   3868,MCG 3-30-104,Galaxy,Leo,15,"vF, vS, R, mbM, n of 2",11,45.4,+,19,27
   3869,UGC 6737,Galaxy,Leo,13,"F, S, iR, psbM",11,45.8,+,10,50
   3870,UGC 6742,Galaxy,UMa,13,"Size: 1.3  cF, cS, R, psbM",11,45.9,+,50,12
   3871,IC 2959,Galaxy,UMa,15,"eF, R, gbM, 1st of 4",11,46.2,+,33,5
   3872,UGC 6738,Galaxy,Leo,11.7,"Size: 2.2  B, S, R, smbM *",11,45.8,+,13,46
   3873,UGC 6735,Galaxy,Leo,14,"vF, pS, lE, 3875 sf",11,45.7,+,19,47
   3874,,Double Star,Vir,,"vF, vS, suspected",11,45.8,+,8,33
   3875,UGC 6739,Galaxy,Leo,15,"vF, vS, r",11,45.8,+,19,46
   3876,UGC 6730,Galaxy,Vir,13,"vF, r",11,45.4,+,9,11
   3877,UGC 6745,Galaxy,UMa,12,"Size: 5.4  B, L, mE 37deg",11,46.1,+,47,30
